"# Bill of Materials — A Hole Hackpad","","",""
"Part","Qty","Cost Each","Notes"
"---","---","---","---"
"Seeed Xiao RP2040 microcontroller","1","$0.00","From Hackpad kit"
"0.91" OLED Display","1","$0.00","From Hackpad kit"
"Cherry MX switches","3","$0.00","From Hackpad kit"
"Keycaps","3","$0.00","From Hackpad kit"
"3D Printed Case","1","$0.00","Printed by me"
"M3 Screws","4","$0.00","From Hackpad kit"
"Custom PCB","1","$5.50","From JLCPCB"
"","","",""
"**Total estimated cost:** $5.50","","",""
